type,key,pattern,result,ingredients
minecraft:crafting_shaped,{'#': {'tag': 'minecraft:planks'}},"['##', '##']",{'item': 'minecraft:crafting_table'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:creeper_banner_pattern'},"[{'item': 'minecraft:paper'}, {'item': 'minecraft:creeper_head'}]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:crimson_button'},[{'item': 'minecraft:crimson_planks'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:crimson_planks'}},"['##', '##', '##']","{'count': 3, 'item': 'minecraft:crimson_door'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:crimson_planks'}}","['W#W', 'W#W']","{'count': 3, 'item': 'minecraft:crimson_fence'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:crimson_planks'}}","['#W#', '#W#']",{'item': 'minecraft:crimson_fence_gate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stripped_crimson_stem'}, 'X': {'item': 'minecraft:chain'}}","['X X', '###', '###']","{'count': 6, 'item': 'minecraft:crimson_hanging_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:crimson_stem'}},"['##', '##']","{'count': 3, 'item': 'minecraft:crimson_hyphae'}",
minecraft:crafting_shapeless,,,"{'count': 4, 'item': 'minecraft:crimson_planks'}",[{'tag': 'minecraft:crimson_stems'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:crimson_planks'}},['##'],{'item': 'minecraft:crimson_pressure_plate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:crimson_planks'}, 'X': {'item': 'minecraft:stick'}}","['###', '###', ' X ']","{'count': 3, 'item': 'minecraft:crimson_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:crimson_planks'}},['###'],"{'count': 6, 'item': 'minecraft:crimson_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:crimson_planks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:crimson_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:crimson_planks'}},"['###', '###']","{'count': 2, 'item': 'minecraft:crimson_trapdoor'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, '$': {'item': 'minecraft:tripwire_hook'}, '&': {'item': 'minecraft:iron_ingot'}, '~': {'item': 'minecraft:string'}}","['#&#', '~$~', ' # ']",{'item': 'minecraft:crossbow'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:copper_block'}},"['##', '##']","{'count': 4, 'item': 'minecraft:cut_copper'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cut_copper'}},['###'],"{'count': 6, 'item': 'minecraft:cut_copper_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cut_copper'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:cut_copper_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:red_sandstone'}},"['##', '##']","{'count': 4, 'item': 'minecraft:cut_red_sandstone'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cut_red_sandstone'}},['###'],"{'count': 6, 'item': 'minecraft:cut_red_sandstone_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:sandstone'}},"['##', '##']","{'count': 4, 'item': 'minecraft:cut_sandstone'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cut_sandstone'}},['###'],"{'count': 6, 'item': 'minecraft:cut_sandstone_slab'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:cyan_wool'}, '|': {'item': 'minecraft:stick'}}","['###', '###', ' | ']",{'item': 'minecraft:cyan_banner'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:cyan_wool'}, 'X': {'tag': 'minecraft:planks'}}","['###', 'XXX']",{'item': 'minecraft:cyan_bed'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:cyan_candle'},"[{'item': 'minecraft:candle'}, {'item': 'minecraft:cyan_dye'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cyan_wool'}},['##'],"{'count': 3, 'item': 'minecraft:cyan_carpet'}",
minecraft:crafting_shapeless,,,"{'count': 8, 'item': 'minecraft:cyan_concrete_powder'}","[{'item': 'minecraft:cyan_dye'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}]"
minecraft:crafting_shapeless,,,"{'count': 2, 'item': 'minecraft:cyan_dye'}","[{'item': 'minecraft:blue_dye'}, {'item': 'minecraft:green_dye'}]"
minecraft:crafting_shapeless,,,"{'count': 2, 'item': 'minecraft:cyan_dye'}",[{'item': 'minecraft:pitcher_plant'}]
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass'}, 'X': {'item': 'minecraft:cyan_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:cyan_stained_glass'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cyan_stained_glass'}},"['###', '###']","{'count': 16, 'item': 'minecraft:cyan_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass_pane'}, '$': {'item': 'minecraft:cyan_dye'}}","['###', '#$#', '###']","{'count': 8, 'item': 'minecraft:cyan_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:terracotta'}, 'X': {'item': 'minecraft:cyan_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:cyan_terracotta'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_planks'}},"['# #', '###']",{'item': 'minecraft:dark_oak_boat'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:dark_oak_button'},[{'item': 'minecraft:dark_oak_planks'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:dark_oak_chest_boat'},"[{'item': 'minecraft:chest'}, {'item': 'minecraft:dark_oak_boat'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_planks'}},"['##', '##', '##']","{'count': 3, 'item': 'minecraft:dark_oak_door'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:dark_oak_planks'}}","['W#W', 'W#W']","{'count': 3, 'item': 'minecraft:dark_oak_fence'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:dark_oak_planks'}}","['#W#', '#W#']",{'item': 'minecraft:dark_oak_fence_gate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stripped_dark_oak_log'}, 'X': {'item': 'minecraft:chain'}}","['X X', '###', '###']","{'count': 6, 'item': 'minecraft:dark_oak_hanging_sign'}",
minecraft:crafting_shapeless,,,"{'count': 4, 'item': 'minecraft:dark_oak_planks'}",[{'tag': 'minecraft:dark_oak_logs'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_planks'}},['##'],{'item': 'minecraft:dark_oak_pressure_plate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:dark_oak_planks'}, 'X': {'item': 'minecraft:stick'}}","['###', '###', ' X ']","{'count': 3, 'item': 'minecraft:dark_oak_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_planks'}},['###'],"{'count': 6, 'item': 'minecraft:dark_oak_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_planks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:dark_oak_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_planks'}},"['###', '###']","{'count': 2, 'item': 'minecraft:dark_oak_trapdoor'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_oak_log'}},"['##', '##']","{'count': 3, 'item': 'minecraft:dark_oak_wood'}",
minecraft:crafting_shaped,"{'I': {'item': 'minecraft:black_dye'}, 'S': {'item': 'minecraft:prismarine_shard'}}","['SSS', 'SIS', 'SSS']",{'item': 'minecraft:dark_prismarine'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_prismarine'}},['###'],"{'count': 6, 'item': 'minecraft:dark_prismarine_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dark_prismarine'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:dark_prismarine_stairs'}",
minecraft:crafting_shaped,"{'G': {'item': 'minecraft:glass'}, 'Q': {'item': 'minecraft:quartz'}, 'W': {'tag': 'minecraft:wooden_slabs'}}","['GGG', 'QQQ', 'WWW']",{'item': 'minecraft:daylight_detector'},
minecraft:crafting_decorated_pot,,,,
minecraft:crafting_shaped,{'#': {'item': 'minecraft:brick'}},"[' # ', '# #', ' # ']",{'item': 'minecraft:decorated_pot'},
minecraft:crafting_shaped,{'S': {'item': 'minecraft:polished_deepslate'}},"['SS', 'SS']","{'count': 4, 'item': 'minecraft:deepslate_bricks'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:deepslate_bricks'}},['###'],"{'count': 6, 'item': 'minecraft:deepslate_brick_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:deepslate_bricks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:deepslate_brick_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:deepslate_bricks'}},"['###', '###']","{'count': 6, 'item': 'minecraft:deepslate_brick_wall'}",
minecraft:crafting_shaped,{'S': {'item': 'minecraft:deepslate_bricks'}},"['SS', 'SS']","{'count': 4, 'item': 'minecraft:deepslate_tiles'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:deepslate_tiles'}},['###'],"{'count': 6, 'item': 'minecraft:deepslate_tile_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:deepslate_tiles'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:deepslate_tile_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:deepslate_tiles'}},"['###', '###']","{'count': 6, 'item': 'minecraft:deepslate_tile_wall'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stone_pressure_plate'}, 'R': {'item': 'minecraft:redstone'}, 'X': {'item': 'minecraft:iron_ingot'}}","['X X', 'X#X', 'XRX']","{'count': 6, 'item': 'minecraft:detector_rail'}",
minecraft:crafting_shapeless,,,"{'count': 9, 'item': 'minecraft:diamond'}",[{'item': 'minecraft:diamond_block'}]
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:diamond'}}","['XX', 'X#', ' #']",{'item': 'minecraft:diamond_axe'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:diamond'}},"['###', '###', '###']",{'item': 'minecraft:diamond_block'},
minecraft:crafting_shaped,{'X': {'item': 'minecraft:diamond'}},"['X X', 'X X']",{'item': 'minecraft:diamond_boots'},
minecraft:crafting_shaped,{'X': {'item': 'minecraft:diamond'}},"['X X', 'XXX', 'XXX']",{'item': 'minecraft:diamond_chestplate'},
minecraft:crafting_shaped,{'X': {'item': 'minecraft:diamond'}},"['XXX', 'X X']",{'item': 'minecraft:diamond_helmet'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:diamond'}}","['XX', ' #', ' #']",{'item': 'minecraft:diamond_hoe'},
minecraft:crafting_shaped,{'X': {'item': 'minecraft:diamond'}},"['XXX', 'X X', 'X X']",{'item': 'minecraft:diamond_leggings'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:diamond'}}","['XXX', ' # ', ' # ']",{'item': 'minecraft:diamond_pickaxe'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:diamond'}}","['X', '#', '#']",{'item': 'minecraft:diamond_shovel'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:diamond'}}","['X', 'X', '#']",{'item': 'minecraft:diamond_sword'},
minecraft:crafting_shaped,"{'C': {'item': 'minecraft:cobblestone'}, 'Q': {'item': 'minecraft:quartz'}}","['CQ', 'QC']","{'count': 2, 'item': 'minecraft:diorite'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:diorite'}},['###'],"{'count': 6, 'item': 'minecraft:diorite_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:diorite'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:diorite_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:diorite'}},"['###', '###']","{'count': 6, 'item': 'minecraft:diorite_wall'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:cobblestone'}, 'R': {'item': 'minecraft:redstone'}, 'X': {'item': 'minecraft:bow'}}","['###', '#X#', '#R#']",{'item': 'minecraft:dispenser'},
minecraft:crafting_shapeless,,,"{'count': 9, 'item': 'minecraft:dried_kelp'}",[{'item': 'minecraft:dried_kelp_block'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:dried_kelp'}},"['###', '###', '###']",{'item': 'minecraft:dried_kelp_block'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:pointed_dripstone'}},"['##', '##']",{'item': 'minecraft:dripstone_block'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:cobblestone'}, 'R': {'item': 'minecraft:redstone'}}","['###', '# #', '#R#']",{'item': 'minecraft:dropper'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:diamond'}, 'C': {'item': 'minecraft:sandstone'}, 'S': {'item': 'minecraft:dune_armor_trim_smithing_template'}}","['#S#', '#C#', '###']","{'count': 2, 'item': 'minecraft:dune_armor_trim_smithing_template'}",
minecraft:crafting_shapeless,,,{'item': 'minecraft:black_bed'},"[{'item': 'minecraft:black_dye'}, [{'item': 'minecraft:blue_bed'}, {'item': 'minecraft:brown_bed'}, {'item': 'minecraft:cyan_bed'}, {'item': 'minecraft:gray_bed'}, {'item': 'minecraft:green_bed'}, {'item': 'minecraft:light_blue_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:black_carpet'},"[{'item': 'minecraft:black_dye'}, [{'item': 'minecraft:blue_carpet'}, {'item': 'minecraft:brown_carpet'}, {'item': 'minecraft:cyan_carpet'}, {'item': 'minecraft:gray_carpet'}, {'item': 'minecraft:green_carpet'}, {'item': 'minecraft:light_blue_carpet'}, {'item': 'minecraft:light_gray_carpet'}, {'item': 'minecraft:lime_carpet'}, {'item': 'minecraft:magenta_carpet'}, {'item': 'minecraft:orange_carpet'}, {'item': 'minecraft:pink_carpet'}, {'item': 'minecraft:purple_carpet'}, {'item': 'minecraft:red_carpet'}, {'item': 'minecraft:yellow_carpet'}, {'item': 'minecraft:white_carpet'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:black_wool'},"[{'item': 'minecraft:black_dye'}, [{'item': 'minecraft:blue_wool'}, {'item': 'minecraft:brown_wool'}, {'item': 'minecraft:cyan_wool'}, {'item': 'minecraft:gray_wool'}, {'item': 'minecraft:green_wool'}, {'item': 'minecraft:light_blue_wool'}, {'item': 'minecraft:light_gray_wool'}, {'item': 'minecraft:lime_wool'}, {'item': 'minecraft:magenta_wool'}, {'item': 'minecraft:orange_wool'}, {'item': 'minecraft:pink_wool'}, {'item': 'minecraft:purple_wool'}, {'item': 'minecraft:red_wool'}, {'item': 'minecraft:yellow_wool'}, {'item': 'minecraft:white_wool'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_bed'},"[{'item': 'minecraft:blue_dye'}, [{'item': 'minecraft:black_bed'}, {'item': 'minecraft:brown_bed'}, {'item': 'minecraft:cyan_bed'}, {'item': 'minecraft:gray_bed'}, {'item': 'minecraft:green_bed'}, {'item': 'minecraft:light_blue_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_carpet'},"[{'item': 'minecraft:blue_dye'}, [{'item': 'minecraft:black_carpet'}, {'item': 'minecraft:brown_carpet'}, {'item': 'minecraft:cyan_carpet'}, {'item': 'minecraft:gray_carpet'}, {'item': 'minecraft:green_carpet'}, {'item': 'minecraft:light_blue_carpet'}, {'item': 'minecraft:light_gray_carpet'}, {'item': 'minecraft:lime_carpet'}, {'item': 'minecraft:magenta_carpet'}, {'item': 'minecraft:orange_carpet'}, {'item': 'minecraft:pink_carpet'}, {'item': 'minecraft:purple_carpet'}, {'item': 'minecraft:red_carpet'}, {'item': 'minecraft:yellow_carpet'}, {'item': 'minecraft:white_carpet'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_wool'},"[{'item': 'minecraft:blue_dye'}, [{'item': 'minecraft:black_wool'}, {'item': 'minecraft:brown_wool'}, {'item': 'minecraft:cyan_wool'}, {'item': 'minecraft:gray_wool'}, {'item': 'minecraft:green_wool'}, {'item': 'minecraft:light_blue_wool'}, {'item': 'minecraft:light_gray_wool'}, {'item': 'minecraft:lime_wool'}, {'item': 'minecraft:magenta_wool'}, {'item': 'minecraft:orange_wool'}, {'item': 'minecraft:pink_wool'}, {'item': 'minecraft:purple_wool'}, {'item': 'minecraft:red_wool'}, {'item': 'minecraft:yellow_wool'}, {'item': 'minecraft:white_wool'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:brown_bed'},"[{'item': 'minecraft:brown_dye'}, [{'item': 'minecraft:black_bed'}, {'item': 'minecraft:blue_bed'}, {'item': 'minecraft:cyan_bed'}, {'item': 'minecraft:gray_bed'}, {'item': 'minecraft:green_bed'}, {'item': 'minecraft:light_blue_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:brown_carpet'},"[{'item': 'minecraft:brown_dye'}, [{'item': 'minecraft:black_carpet'}, {'item': 'minecraft:blue_carpet'}, {'item': 'minecraft:cyan_carpet'}, {'item': 'minecraft:gray_carpet'}, {'item': 'minecraft:green_carpet'}, {'item': 'minecraft:light_blue_carpet'}, {'item': 'minecraft:light_gray_carpet'}, {'item': 'minecraft:lime_carpet'}, {'item': 'minecraft:magenta_carpet'}, {'item': 'minecraft:orange_carpet'}, {'item': 'minecraft:pink_carpet'}, {'item': 'minecraft:purple_carpet'}, {'item': 'minecraft:red_carpet'}, {'item': 'minecraft:yellow_carpet'}, {'item': 'minecraft:white_carpet'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:brown_wool'},"[{'item': 'minecraft:brown_dye'}, [{'item': 'minecraft:black_wool'}, {'item': 'minecraft:blue_wool'}, {'item': 'minecraft:cyan_wool'}, {'item': 'minecraft:gray_wool'}, {'item': 'minecraft:green_wool'}, {'item': 'minecraft:light_blue_wool'}, {'item': 'minecraft:light_gray_wool'}, {'item': 'minecraft:lime_wool'}, {'item': 'minecraft:magenta_wool'}, {'item': 'minecraft:orange_wool'}, {'item': 'minecraft:pink_wool'}, {'item': 'minecraft:purple_wool'}, {'item': 'minecraft:red_wool'}, {'item': 'minecraft:yellow_wool'}, {'item': 'minecraft:white_wool'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:cyan_bed'},"[{'item': 'minecraft:cyan_dye'}, [{'item': 'minecraft:black_bed'}, {'item': 'minecraft:blue_bed'}, {'item': 'minecraft:brown_bed'}, {'item': 'minecraft:gray_bed'}, {'item': 'minecraft:green_bed'}, {'item': 'minecraft:light_blue_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:cyan_carpet'},"[{'item': 'minecraft:cyan_dye'}, [{'item': 'minecraft:black_carpet'}, {'item': 'minecraft:blue_carpet'}, {'item': 'minecraft:brown_carpet'}, {'item': 'minecraft:gray_carpet'}, {'item': 'minecraft:green_carpet'}, {'item': 'minecraft:light_blue_carpet'}, {'item': 'minecraft:light_gray_carpet'}, {'item': 'minecraft:lime_carpet'}, {'item': 'minecraft:magenta_carpet'}, {'item': 'minecraft:orange_carpet'}, {'item': 'minecraft:pink_carpet'}, {'item': 'minecraft:purple_carpet'}, {'item': 'minecraft:red_carpet'}, {'item': 'minecraft:yellow_carpet'}, {'item': 'minecraft:white_carpet'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:cyan_wool'},"[{'item': 'minecraft:cyan_dye'}, [{'item': 'minecraft:black_wool'}, {'item': 'minecraft:blue_wool'}, {'item': 'minecraft:brown_wool'}, {'item': 'minecraft:gray_wool'}, {'item': 'minecraft:green_wool'}, {'item': 'minecraft:light_blue_wool'}, {'item': 'minecraft:light_gray_wool'}, {'item': 'minecraft:lime_wool'}, {'item': 'minecraft:magenta_wool'}, {'item': 'minecraft:orange_wool'}, {'item': 'minecraft:pink_wool'}, {'item': 'minecraft:purple_wool'}, {'item': 'minecraft:red_wool'}, {'item': 'minecraft:yellow_wool'}, {'item': 'minecraft:white_wool'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:gray_bed'},"[{'item': 'minecraft:gray_dye'}, [{'item': 'minecraft:black_bed'}, {'item': 'minecraft:blue_bed'}, {'item': 'minecraft:brown_bed'}, {'item': 'minecraft:cyan_bed'}, {'item': 'minecraft:green_bed'}, {'item': 'minecraft:light_blue_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:gray_carpet'},"[{'item': 'minecraft:gray_dye'}, [{'item': 'minecraft:black_carpet'}, {'item': 'minecraft:blue_carpet'}, {'item': 'minecraft:brown_carpet'}, {'item': 'minecraft:cyan_carpet'}, {'item': 'minecraft:green_carpet'}, {'item': 'minecraft:light_blue_carpet'}, {'item': 'minecraft:light_gray_carpet'}, {'item': 'minecraft:lime_carpet'}, {'item': 'minecraft:magenta_carpet'}, {'item': 'minecraft:orange_carpet'}, {'item': 'minecraft:pink_carpet'}, {'item': 'minecraft:purple_carpet'}, {'item': 'minecraft:red_carpet'}, {'item': 'minecraft:yellow_carpet'}, {'item': 'minecraft:white_carpet'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:gray_wool'},"[{'item': 'minecraft:gray_dye'}, [{'item': 'minecraft:black_wool'}, {'item': 'minecraft:blue_wool'}, {'item': 'minecraft:brown_wool'}, {'item': 'minecraft:cyan_wool'}, {'item': 'minecraft:green_wool'}, {'item': 'minecraft:light_blue_wool'}, {'item': 'minecraft:light_gray_wool'}, {'item': 'minecraft:lime_wool'}, {'item': 'minecraft:magenta_wool'}, {'item': 'minecraft:orange_wool'}, {'item': 'minecraft:pink_wool'}, {'item': 'minecraft:purple_wool'}, {'item': 'minecraft:red_wool'}, {'item': 'minecraft:yellow_wool'}, {'item': 'minecraft:white_wool'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:green_bed'},"[{'item': 'minecraft:green_dye'}, [{'item': 'minecraft:black_bed'}, {'item': 'minecraft:blue_bed'}, {'item': 'minecraft:brown_bed'}, {'item': 'minecraft:cyan_bed'}, {'item': 'minecraft:gray_bed'}, {'item': 'minecraft:light_blue_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:green_carpet'},"[{'item': 'minecraft:green_dye'}, [{'item': 'minecraft:black_carpet'}, {'item': 'minecraft:blue_carpet'}, {'item': 'minecraft:brown_carpet'}, {'item': 'minecraft:cyan_carpet'}, {'item': 'minecraft:gray_carpet'}, {'item': 'minecraft:light_blue_carpet'}, {'item': 'minecraft:light_gray_carpet'}, {'item': 'minecraft:lime_carpet'}, {'item': 'minecraft:magenta_carpet'}, {'item': 'minecraft:orange_carpet'}, {'item': 'minecraft:pink_carpet'}, {'item': 'minecraft:purple_carpet'}, {'item': 'minecraft:red_carpet'}, {'item': 'minecraft:yellow_carpet'}, {'item': 'minecraft:white_carpet'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:green_wool'},"[{'item': 'minecraft:green_dye'}, [{'item': 'minecraft:black_wool'}, {'item': 'minecraft:blue_wool'}, {'item': 'minecraft:brown_wool'}, {'item': 'minecraft:cyan_wool'}, {'item': 'minecraft:gray_wool'}, {'item': 'minecraft:light_blue_wool'}, {'item': 'minecraft:light_gray_wool'}, {'item': 'minecraft:lime_wool'}, {'item': 'minecraft:magenta_wool'}, {'item': 'minecraft:orange_wool'}, {'item': 'minecraft:pink_wool'}, {'item': 'minecraft:purple_wool'}, {'item': 'minecraft:red_wool'}, {'item': 'minecraft:yellow_wool'}, {'item': 'minecraft:white_wool'}]]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:light_blue_bed'},"[{'item': 'minecraft:light_blue_dye'}, [{'item': 'minecraft:black_bed'}, {'item': 'minecraft:blue_bed'}, {'item': 'minecraft:brown_bed'}, {'item': 'minecraft:cyan_bed'}, {'item': 'minecraft:gray_bed'}, {'item': 'minecraft:green_bed'}, {'item': 'minecraft:light_gray_bed'}, {'item': 'minecraft:lime_bed'}, {'item': 'minecraft:magenta_bed'}, {'item': 'minecraft:orange_bed'}, {'item': 'minecraft:pink_bed'}, {'item': 'minecraft:purple_bed'}, {'item': 'minecraft:red_bed'}, {'item': 'minecraft:yellow_bed'}, {'item': 'minecraft:white_bed'}]]"
